City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Béboto,100,TD,1614817602,14,8.2668,16.939,77.14,4.74
Kruisfontein,0,ZA,1614817348,91,-34.0033,24.7314,63.0,1.01
Castro,100,BR,1614817545,97,-24.7911,-50.0119,63.73,5.06
Hobart,75,AU,1614817318,37,-42.8794,147.3294,71.6,20.71
Mataura,9,NZ,1614817311,56,-46.1927,168.8643,61.0,8.01
Ancud,75,CL,1614817603,72,-41.8697,-73.8203,62.01,4.61
Tuatapere,29,NZ,1614817603,56,-46.1333,167.6833,61.0,8.01
Moyale,66,KE,1614817603,30,3.5167,39.0584,71.62,15.88
Dingle,54,PH,1614817603,83,10.9995,122.6711,79.02,10.74
Tura,0,IN,1614817603,27,25.5198,90.2201,62.83,3.51
Ushuaia,20,AR,1614817603,54,-54.8,-68.3,53.6,3.76
Qaanaaq,62,GL,1614817353,80,77.484,-69.3632,-21.28,7.07
Taltal,29,CL,1614817593,78,-25.4,-70.4833,67.17,4.7
Colgong,0,IN,1614817604,27,25.2667,87.2167,59.16,2.62
Bilibino,100,RU,1614817604,88,68.0546,166.4372,3.87,15.43
Port Hardy,90,CA,1614817604,87,50.6996,-127.4199,46.4,13.8
Rikitea,49,PF,1614817604,81,-23.1203,-134.9692,80.1,8.95
San Policarpo,48,PH,1614817604,84,12.1791,125.5072,79.63,13.44
Jamestown,90,US,1614817566,95,42.097,-79.2353,34.0,7.16
Inhambane,41,MZ,1614817570,92,-23.865,35.3833,73.98,6.08
Jackson,1,US,1614817605,24,42.4165,-122.8345,66.99,6.91
Tuktoyaktuk,75,CA,1614817323,69,69.4541,-133.0374,-20.2,5.75
Yellowknife,40,CA,1614817385,65,62.456,-114.3525,-0.4,10.36
Anloga,40,GH,1614817605,84,5.7947,0.8973,84.2,13.8
Pangnirtung,90,CA,1614817605,77,66.1451,-65.7125,-4.0,6.91
Khatanga,0,RU,1614817454,78,71.9667,102.5,-37.89,6.58
Cherskiy,100,RU,1614817356,90,68.75,161.3,-8.32,11.34
Ostrovnoy,100,RU,1614817581,88,68.0531,39.5131,16.72,13.18
Bathsheba,40,BB,1614817361,69,13.2167,-59.5167,78.8,17.27
Albany,90,US,1614817606,60,42.6001,-73.9662,39.2,8.05
Hermanus,95,ZA,1614817606,89,-34.4187,19.2345,66.99,7.85
Solnechnyy,97,RU,1614817606,92,50.7214,136.6319,13.6,5.73
Verkhnetulomskiy,75,RU,1614817606,93,68.6073,31.7962,19.4,6.71
Hilo,1,US,1614817392,44,19.7297,-155.09,78.8,11.5
Busselton,96,AU,1614817606,93,-33.65,115.3333,68.0,3.0
Prince Rupert,90,CA,1614817437,87,54.3161,-130.3201,41.0,10.36
